year,D_atr14,D_cpr_width_pct,D_adx14,D_atr14_to_close_pct,D_atr30,D_atr_pct,D_atr_pct_z252,D_bb_bw_20,D_bb_pctB_20,D_breakout_high_20,D_breakout_high_50,D_breakout_low_20,D_breakout_low_50,D_close_roll_slope_20,D_close_roll_slope_50,D_cmf20,D_cpr_bc,D_cpr_pivot,D_cpr_tc,D_cpr_vs_yday_code,D_daily_trend,D_days_since_boh_20,D_days_since_bol_20,D_dollar_vol,D_donch_pos_20,D_donch_pos_50,D_dow,D_dvol_z20,D_dvol_z252,D_dvol_z50,D_ema20_angle_deg,D_ema20_angle_z252,D_gap_pct,D_inside_day,D_macd,D_macd_hist,D_macd_signal,D_mdi14,D_nr_day,D_nr_length,D_obv,D_obv_slope,D_oli,D_pdi14,D_pivot,D_prev_close,D_prev_high,D_prev_inside_day,D_prev_low,D_range_pct,D_range_to_atr14,D_resistance1,D_resistance2,D_ret_5d_roll_std,D_rsi14,D_rsi14_obv_x,D_rsi14_z252,D_rsi7,D_rsi7_gt_rsi14,D_rsi7_obv_x,D_support1,D_support2,D_tmr_cpr_bc,D_tmr_cpr_tc,D_tmr_cpr_vs_today_code,D_vol_surge_20,D_vol_surge_50,D_vol_yz_20,D_vol_yz_50,D_vol_z252,D_vpoc,D_weekly_vpoc,D_rsi14_lag1,D_rsi14_lag2,D_adx14_lag1,D_adx14_lag2,D_ema20_angle_deg_lag1,D_obv_slope_lag1,D_obv_slope_lag2,CPR_Yday_Above,CPR_Yday_Below,CPR_Yday_Inside,CPR_Yday_Overlap,CPR_Tmr_Above,CPR_Tmr_Below,CPR_Tmr_Inside,CPR_Tmr_Overlap,DayType_bullish,DayType_bearish,DayType_inside,regime_market_trend,regime_high_vol,regime_dispersion
2020,0.0026311400072453733,-0.032049285577693064,-0.02108010849920297,-0.010273543820161476,0.011386810904189667,-0.017398466005120624,-0.012922609461503566,-0.05828537758471937,-0.0647835675086644,-0.08240579903495951,-0.08114894026357572,0.02069851996527706,-0.0009288977986569603,-0.02845461920782777,0.0067563467570501395,-0.05105570821813578,-0.0041995339559452675,-0.004392571153817783,-0.004581560605810696,-0.038648915683221007,-0.039381128661164694,0.06671390228325147,-0.008597758335114045,-0.046703921217051816,-0.06888337198599709,-0.046907288345820905,-0.01886634158720506,-0.06800791850155598,-0.07421507891473275,-0.07389319431706266,-0.07413343257105766,-0.03980041270141555,-0.02117236430503721,0.016172283991281015,-0.017785308039035923,-0.05672795519769607,-0.001290997204769217,0.04483964428975366,0.0315987276974858,0.025531935230005607,-0.014521871858168639,-0.04361402135727614,0.014569581859033183,-0.08114357152598235,-0.004392571153817783,-0.0032361100698908977,-0.003077323617582239,0.010978295730129916,-0.0017585578024484183,-0.061415607435316634,-0.05026941354126503,-0.0052949000122654265,-0.005768156682876772,-0.0026791716345820065,-0.06297575516917434,-0.054002071831563844,-0.032387481323213715,-0.07283062645500069,-0.04106375410213238,-0.04848361542779777,-0.003808929811112523,-0.0027588361736808806,-0.0041995339559452675,-0.004581560605810696,-0.038648915683221007,-0.07039260697440837,-0.08598261994574122,-0.05614048673727593,0.0017109434288866757,-0.06864006399123486,-0.004392571153817783,-0.0040147003990218325,-0.04363623825044176,-0.024426839734093632,-0.016550250843845225,-0.013307576069191652,-0.05368594743276436,-0.050937767139665295,-0.03290796997254012,,,,,,,,,,,,,,
2021,-0.029767225735198296,-0.030172928032261848,0.005065598859913623,0.0251021816026792,-0.024862248344890047,0.024211277297966922,-0.011500961521750605,0.02068596850065783,-0.0013610733168161768,-0.029984959405687808,-0.022426986186261814,-0.009461188718314428,-0.012979600682457917,0.020479410610256446,-0.00011324090244148297,0.031006894847745225,-0.03408370807219012,-0.03420276667267615,-0.03431761344775328,-0.029455953022382436,-0.03455503224428989,0.007275839442720458,0.035113509085683725,-0.05490310156797245,0.008467649520622381,0.011903592748362899,0.009134414128184056,-0.03704048404047911,-0.022472024186968493,-0.027319515294467946,0.006275044141294645,-0.010849738831892724,-0.008035611426950747,0.01667879017308229,0.016046199282477826,-0.016663275498571776,0.015226024615954233,0.0007377539417907019,0.022345178355586165,0.02309311263447199,0.003547259895044807,-0.026653169141545755,0.005492566192125447,-0.011699453305870208,-0.03420276667267615,-0.03356153504033963,-0.033423246013928376,0.00859808321390959,-0.03294558625033695,-0.03213356983243418,-0.05521165511679078,-0.03464886703532233,-0.034842444730202676,0.04063496245795622,0.0030144141785703373,-0.02668692525694539,-0.006582559365080059,-0.008988406775411037,-0.01323341216629255,-0.026671568954404447,-0.03395652635785683,-0.03344775248377988,-0.03408370807219012,-0.03431761344775328,-0.029455953022382436,-0.037292690302416706,-0.034208721501288133,0.02186618741732654,0.0243062644531789,-0.026197604301654496,-0.03420276667267615,-0.03394083562085593,0.013880548696503882,0.02636655884828033,0.006978192006593738,0.00856509807330239,0.018798815573589474,-0.028755985626230846,-0.007499815182575243,,,,,,,,,,,,,,
2022,-0.022532308061451917,-0.023124642147659646,0.036093022619003656,0.025727194834917897,-0.02692001552196082,0.026107143810326947,0.04556625309188266,0.04644158482277681,0.00012183155726393074,-0.026344272004827307,-0.020218495270343525,0.009462975486935093,0.016046783631189995,0.009741944566584879,0.004524119618259936,0.026020696799709368,-0.027302663057713686,-0.02738561617733953,-0.027466240275426324,-0.01422275434237713,-0.01807508876384031,0.0025256905711663153,0.015821102486954036,-0.01287250243837907,0.0033682280676789462,0.01050220806009582,-0.006498552591538365,-0.01451995684649266,-0.0005341832705859228,0.0027663911939979653,0.0021112895841461244,0.006449041983524233,-0.006898055780388053,0.004066211355819825,0.01599955047779459,-0.00507757698131892,0.018077150028130064,0.0017089128937360057,0.02503459021693958,0.02628757849556378,0.051971950578475874,-0.020909712383074507,-7.406945491340058e-05,-0.011191345755066294,-0.02738561617733953,-0.026889658280997368,-0.026661475919831475,0.006789494293562524,-0.026642400035873974,-6.606757206319428e-05,-0.020945117811242104,-0.027562950354633752,-0.027578075739787395,0.03551259659645965,0.005005826894317025,-0.021293400308576946,0.012699663530618318,-0.00675764829281352,-0.020235370320100938,-0.020863137523769736,-0.027349045343472385,-0.027129021568035025,-0.027302663057713686,-0.027466240275426324,-0.01422275434237713,-0.03244532858178111,-0.0365857394035731,0.015611939771694953,0.0011075989462737993,-0.0007036925934369954,-0.02738561617733953,-0.027078594466625465,0.012288889433988528,0.02369728659388211,0.0372156160702371,0.03650231479808144,0.01091274437617505,-0.02889159187401979,-0.021301110457789877,,,,,,,,,,,,,,
2023,0.012889378177344452,-0.04386132769137089,0.0022929851955359125,0.00828257436849779,0.010013729840825854,0.007485792249265059,0.02873161812435767,0.013585759654645075,-0.01744543414389739,-0.04266108186792887,-0.04506427786617746,-0.007469373921858907,-0.010654786926982837,0.013453346892619622,0.018982027623417927,-0.0008745832472766518,0.007106089621454737,0.0069780871386615215,0.006850588601157226,-0.029336343264149852,-0.03167490379876863,0.0027292618260803506,0.024992251890347476,0.02610727794550442,-0.01076909183575144,0.0041642907247068815,-0.00019520571214143583,-0.019919728732607524,0.015235682613329679,-0.003649328785548562,-0.00934671130259093,-0.03022368357892373,-0.007571344907915162,0.010542350709221514,0.024880854004924426,-0.02493949050685765,0.027846537059656274,0.013641957746350516,0.017004337204858923,0.017034942593489703,0.06590494605318604,-0.031189819842815884,0.016406315676994892,-0.005843784703212307,0.0069780871386615215,0.007570887098593488,0.007787436004626478,0.008006078366366702,0.007844661156778638,-0.00247578104814973,-0.014772661766430571,0.006783886253625284,0.006854292169107307,0.010666789852825508,-0.005023815582201876,-0.033090751955407366,-0.01620681924301338,-0.023208052908383812,-0.03998891834143594,-0.03305102450775809,0.006912792711136693,0.007123554719401103,0.007106089621454737,0.006850588601157226,-0.029336343264149852,-0.022862736160549957,-0.021162045304451937,0.0015427145748584952,-0.011386642660832268,0.006769269103424412,0.0069780871386615215,0.0071339982150979715,0.009567870979894,0.017019936991712337,0.005889019578139645,0.007965203776860063,0.007921077556828459,-0.01862721775639676,-0.007591138081447823,,,,,,,,,,,,,,
2024,0.045923868853806844,-0.02604780972639854,0.021888373810512153,0.061955239599776335,0.0413702442502245,0.06191678010598911,0.07982527352301619,0.055556950291797684,-0.04381619246483906,-0.036170901173171906,-0.02674863268801237,0.03399524625128807,0.01944601811044156,0.006458970411707418,0.020848922804934007,0.018267793032044313,0.03150066211193012,0.031401083132085686,0.03130101125716805,-0.016891749629614074,-0.027848590496410256,0.016989664430510566,-0.011811103258065395,0.015757003308080855,-0.029940752729230104,-0.007355031270880375,-0.011783247677390885,-0.017964435715122965,-0.0008933011819170902,-0.0037245882122262596,-0.03546225611392954,-0.04303546818299095,-0.015663347112088912,0.005299132766404176,0.01153443675035109,-0.04393962737199297,0.027741129660401202,0.03803532591735251,0.0274607546674473,0.025899406977581207,0.025598846472834336,-0.02459507924178876,-0.0008178754872298752,-0.030965443993351337,0.031401083132085686,0.03201228510312008,0.032520530891439865,0.007650057953903023,0.03186051355661569,0.03550489370158877,-0.005418727436152675,0.03156788544653142,0.031916139179328604,0.03829949289053588,-0.031469966603247766,-0.024885871442676448,-0.03666318729547295,-0.04908397034631524,-0.04849970349602421,-0.024185965496616866,0.031014595658970478,0.030828668047459342,0.03150066211193012,0.03130101125716805,-0.016891749629614074,-0.03090589061810779,-0.03230556587892429,0.04611676825910309,0.021355872583101905,-0.0026875199119574993,0.031401083132085686,0.03138366450126499,-0.021212151337012545,-0.01626580627710233,0.021606610190693796,0.020293257965011382,-0.024254776701919854,-0.010914978660803763,-0.010561417154753736,,,,,,,,,,,,,,
2025,0.04252703546570316,-0.021444076709251053,0.012804331535593117,0.009300189402370698,0.03813136835947826,0.008657996692656066,0.04618824926552639,0.029498775769326826,-0.023868888865122364,-0.022804434889054127,-0.012139876135791762,0.02756712852982171,0.02970529385281038,0.014893354515959457,-0.0023851763292258325,0.05805842845313635,0.03798480271547482,0.0379170557666736,0.0378505087188573,-0.034143516446395225,-0.03781098829756931,0.00046991933887873216,0.010282247560116121,0.04538961358201737,-0.009022035685412643,0.002980857707130634,-0.0012795389386160622,-0.014965975709772313,0.0016717279716151276,-0.0038442344142268253,-0.019605079341000437,-0.028814099220357603,-0.028431414005408533,-0.00674332139639311,-0.0007842407823513838,-0.007508489451211311,0.006094259769627938,0.03746715856012433,0.01146943858423573,0.009648304817972868,0.021894847955992232,-0.04231816164134337,0.028998843171100106,-0.004194958142230133,0.0379170557666736,0.038579690166898974,0.03862633382726644,-0.003268879635253013,0.038655733298236065,-0.0063697582262802685,-0.014691963583929608,0.03781770952258476,0.03785420215635926,0.01208468750986464,-0.013823451364466775,-0.0402995760391972,-0.018928404750769155,-0.0328773961605184,-0.04393802124268154,-0.039210982308128806,0.03788144626534252,0.03798366013550461,0.03798480271547482,0.0378505087188573,-0.034143516446395225,-0.020503266822045233,-0.016226463437992344,0.008012563270763594,0.00033230019291747957,0.008641302012775546,0.0379170557666736,0.03818665309437431,-0.0022425929698895865,0.007598573752923195,0.011791193225067133,0.010647735612328511,-0.007017318924984807,-0.033369757234048,-0.030320154752752994,,,,,,,,,,,,,,
2026,0.0883694183020835,0.025516133070264048,0.05054014148747505,0.131892557554892,0.07912753880329229,0.1322888350108031,0.12211007632331963,0.14470666831545795,0.06948319283185862,0.017284921552697504,0.025811788118345582,-0.028426640811794752,-0.021405314703478975,-0.019719848929610918,0.006781942128523102,0.016451546270972273,0.05342517101070112,0.053477293533534066,0.053533070834884296,0.04972871376034805,0.039724158102745884,0.0006788029373590685,-0.0019125489733425583,0.05041521746442119,0.05756248075662814,0.06095239255470596,0.008229026597301762,-0.012250859249121483,0.03357402188946318,0.023121688886210676,0.05244414644632215,0.05550832689320949,0.000737183180795536,-0.022996894745152673,-0.002738770105993497,0.05818445438458362,-0.014749522803227551,0.0009232319016888035,-0.002763933014797041,-0.0010567289332474557,0.01154474017662949,0.01723819354665041,-0.02108462200700652,0.036735257167224415,0.053477293533534066,0.05324301354367411,0.053285633379096274,-0.015661330857623057,0.05254266837088068,0.09209739683079288,0.004614925520419377,0.053978942405481616,0.05436607402432378,0.11881508375696924,0.05631652599043566,0.01645085180078558,0.06610673063825846,0.08153846397728981,0.10015828706234182,0.016206723668956282,0.053116559729100704,0.052651490589234365,0.05342517101070112,0.053533070834884296,0.04972871376034805,-0.00819621473453751,-0.013533632284700337,0.13354117079261046,0.11000075331598333,0.04166451509233209,0.053477293533534066,0.05299144978066909,0.0465290850600057,0.02815407151191193,0.05016038281326346,0.04829824059715725,0.03888667582967995,0.044045163731110615,0.030051975656770615,,,,,,,,,,,,,,
